Organization,Description,Year
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,2016
aimacode,"Code to accompany the book ""AI: A Modern Approach""",2016
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Research-Intensive Open-Source Projects at Australia's Leading University,2016
Apache Software Foundation,Providing open source software to the public free of charge,2016
ArchC,ArchC is an Architecture Description Language,2016
ASCEND,Equation-solving software for engineering system modelling,2016
BeagleBoard.org,open hardware physical computing community with Linux,2016
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM",2016
Berkman Center for Internet and Society,An interdisciplinary university-wide research center focused on the Internet,2016
BioJS,BioJS is an open source project that visualizes biological data using JavaScript,2016
"Biomedical Informatics, Emory University",Big Data for Healthcare and Biomedical Research,2016
Blender Foundation,We make a 100% free/open source 3D creation pipeline.,2016
Boston University / XIA,Crowdsourcing the future Internet,2016
BRL-CAD,"We develop solid modeling, CAD, CAM, & other computer-aided technologies (CAx)",2016
BuildmLearn,Building m-Learning applications,2016
Canadian Centre for Computational Genomics (C3G) - Montreal node,Analytical solutions for Next-Generation Sequencing data,2016
Catrobat,Our apps empower teens to visually create their own apps directly on their phone,2016
cBioPortal for Cancer Genomics,Open source software solutions of precision medicine for cancer patients,2016
CCExtractor Development,The de-facto standard tool for everything related to subtitles.,2016
Celluloid,Painless multi-threaded multi-core programming for Ruby.,2016
Ceph,The Future of Storage,2016
CERN SFT,The SFT is part of CERN (European Organization for Nuclear Research).,2016
Chapel,a Productive Parallel Programming Language,2016
CiviCRM,"Contact relationship management for non-profits, NGOs and advocacy organizations",2016
Classical Language Toolkit,NLP for the ancient world,2016
CloudCV,CloudCV - Large Scale Distribution Vision algorithms as a Cloud Service,2016
Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,2016
Computational Science and Engineering at TU Wien,We bundle TU Wien's open source efforts in the area of science and engineering,2016
Copyleft Games,"Tools, libraries, and engines to help in game development",2016
coreboot,fast and flexible Open Source firmware,2016
CVXPY,CVXPY is a Python-embedded modeling language for convex optimization problems.,2016
D Foundation,The D Foundation leads development of the D Programming Language.,2016
dbpediaspotlight,"Information Extraction framework from Wikipedia, Wikidata & Commons",2016
Debian Project,The Universal Operating System,2016
Discourse,A next-generation discussion forum.,2016
Distributed and Unified Numerics Environment (DUNE),DUNE is a modular toolbox for solving PDEs with grid-based methods.,2016
Django Software Foundation,The web framework for perfectionists with deadlines.,2016
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Websites, databases, +more",2016
Eclipse Foundation,Eclipse is a community who collaborates on open source software.,2016
Fedora Project,Lead the advance of Free/Open Source Software/Content as collaborative community,2016
FFmpeg,Cross-platform software to convert audio and video.,2016
FOSDEM VZW,The organization that handles all aspects of the FOSDEM conference,2016
FOSSASIA,Open Technologies for Social Change,2016
Free and Open Source Silicon Foundation,"Free and Open Source Digital Designs and their Ecosystem, EDA Tools and OpenRISC",2016
FreeBSD,FreeBSD: The Foundation of the Internet,2016
Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,2016
Gambit - Software Tools for Game Theory,Software for Analysis of Game Theory Models,2016
Ganeti,Cluster virtual server management software,2016
